Statistic Measure,Naive Bayes,Random Forest,SVM,KNN
Accuracy,0.9419517586466067,0.9956061838893409,0.949126322392925,0.9516520794974184
Precision,0.9382983688873914,0.9955910515832521,0.9466876603140884,0.9480269429020014
Recall,0.9368799520842609,0.9952943858680646,0.9427244732840631,0.9471384065419958
F-Measure,0.9373542768873324,0.9954324736111617,0.9444854415811903,0.9474373572099912
